StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Page1,Q_Country,Q_Age,Q_Ethnicity,Q_Genres,Q_GenreOther,Q_Musicianship,Q_Awareness,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Baseline_Teental,Baseline_Rupak,Base_Teental_sd1_1,Base_Teental_Complex_1,Base_Teental_sp1_1,Base_Teental_Basic_1,Base_Teental_Naturl_1,Teental Tutorial,1. Dadra,5. Keherva,4. Jhaptal,2. Deepchandi,3. TeentalComplex,Testing_Teental,Test_Teental_sd1_1,Test_Teental_Complex_1,Test_Teental_sp1_1,Test_Teental_Basic_1,Test_Teental_Naturl_1,Test_Teental_Naturll_1,Base_Rupak_sd1_1,Base_Rupak_Complex_1,Base_Rupak_sp1_1,Base_Rupak_Basic_1,Base_Rupak_Naturl_1,Rupak_Tutorial,1. Dadra,3. Rupak Complex,5. Keherva,4.Jhaptal,2. Deepchandi,Testing_Rupak,Test_Rupak_sd1_1,Test_Rupak_Complex_1,Test_Rupak_sp1_1,Test_Rupak_Basic_1,Test_Rupak_Naturl_1,Test_Rupak_Naturl2_1,SC0,SC1,SC2,ScoreFam,Score,Score1.2,Score 1.3,Score 1.4,Score2,Score2.2,Score2.3,Score2.4
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Study Title: Learning long patterns of North Indian classical rhythms  

Researchers: X 

Contact email: X 

 

The experiment should take 10- 12 minutes of your time. You may discontinue and quit the experiment anytime during the investigation. Please ensure you are in a comfortable environment and can listen to the sounds clearly. As you complete the study, you will get a chance to participate in a lucky draw which will give a â‚¹1000 amazon gift voucher to 4 participants

 

What is this study about?  

This experiment is being conducted to understand how people learn and understand Indian rhythms.  

What will this study involve?  

The study will take place completely online. It will involve listening to some sound files and answering some simple questions. It will take 10-12 minutes of your time.  

The experiment is divided into three parts:  

In the first part, you will listen to one Indian rhythm and be asked to rate some other patterns according to how similar you think they are to the first one you heard.  

In the second part, you will watch a video explaining one Indian rhythm to familiarize yourself with that pattern. You can take as much time as you want and will move to the next part of the experiment after recognizing the pattern correctly a few times.    

In the last part of the experiment, which follows the same format as the first part, you will again be asked to rate the similarity of various rhythms to a reference pattern.  

How will the data be used and stored?  

The data will be used for X. The results from the data will be presented at conferences and potentially published in journals. The analysis will be completely anonymized, and your name will not be reported anywhere.  

The data will be securely stored in a password-protected online drive, shared only among the researchers.    

What if you change your mind about your participation?  

You can withdraw your participation anytime while doing the experiment. Incomplete data will be discarded and deleted. As the data is not linked to your name or identity, you will not be able to withdraw your data after participation, as the researchers can no longer identify which data set is yours.  

Who can I contact if I have questions or concerns?  

You can contact X for any further questions. 

  

Consent Statements: 

1. I confirm that I have read and understand the above information about the project  

2. I understand that my participation is voluntary and that I am free to withdraw at any time without giving any reason  

4. I agree to take part in the above project  

5. I have been informed about how the data will be used and stored 

  

I confirm that I have read and understood all the above information:",List of Countries,How old are you today? (Age in Years:),What best describes your ethnic group? (Example: Asian- Indian),Select the genres of music you listen to?,Can you state the other genres?,Which title best describes you?,Have you studied North-Indian (Hindustani) Classical Music?,Which is the oldest form among these?,Which raga among these is typically performed during morning,"In a vocal khayal performance, which among these would be performed last",Identify the scholar who is credited with classifying ragas into ten thaats,Spot the percussion instrument most commonly used in dhrupad recitals:,Identify the pentatonic raga amongst the following:,Who amongst them happened to be a well-known composer of thumri:,How many matras are there in ektal?,"Listen to this pattern as a cue for the following questions. Remember to keep the volume up so that you can hear the pattern properly.






Please check the box to proceed after you have heard the pattern properly. You will not get this cue again.","Listen to this pattern as a cue for the following questions. Remember to keep the volume up so that you can hear the pattern properly.




Please check the box to proceed after you have heard the pattern properly. You will not get this cue again.",Base_Teental_sd1,Base_Teental_Complex,Base_Teental_sp1,Base_Teental_Basic,Base_Teental_Naturl,"This is a tutorial video for the Indian Rhythm 'Teen Tal', which has 16 beats. You may watch it as many times as you want. Please note that you cannot come back to watch it if you proceed.",Is this the Teen Tal pattern?,Is this the Teen tal pattern?,Is this the Teen Tal pattern?,Is this the Teen Tal Pattern?,Is this the Teen tal pattern?,"Now that you know teental. 
Listen to this pattern again as a cue for the following questions. Remember to keep the volume up so that you can hear the pattern properly.






Please check the box to proceed after you have heard the pattern properly. You will not get this cue again.",Test_Teental_sd1,Test_Teental_Complex,Test_Teental_sp1,Test_Teental_Basic,Test_Teental_Naturl,Test_Teental_Naturll,Base_Rupak_sd1,Base_Rupak_Complex,Base_Rupak_sp1,Base_Rupak_Basic,Base_Rupak_Naturl,"This is a tutorial video for the Indian Rhythm 'Rupak Tal', which has 7 beats. You may watch it as many times as you want. Please note that you cannot come back to watch it if you proceed.",Is this the Rupak Tal pattern?,Is this pattern Rupak Tal?,Is this pattern Rupak tal?,Is this pattern Rupak Tal?,Is this the Rupak Tal Pattern?,"Now that you know Rupak tal.



Listen to this pattern again as a cue for the following questions. Remember to keep the volume up so that you can hear the pattern properly.
  
Please check the box to proceed after you have heard the pattern properly. You will not get this cue again.",Test_Rupak_sd1,Test_Rupak_Complex,Test_Rupak_sp1,Test_Rupak_Basic,Test_Rupak_Naturl,Test_Rupak_Naturl2,Practice,Practice2,Familiarity,ScoreFam,Score,Score1.2,Score 1.3,Score 1.4,Score2,Score2.2,Score2.3,Score2.4
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID15""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID150_TEXT""}","{""ImportId"":""QID149""}","{""ImportId"":""QID154""}","{""ImportId"":""QID156""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID168""}","{""ImportId"":""QID1""}","{""ImportId"":""QID114""}","{""ImportId"":""QID116_4""}","{""ImportId"":""QID117_4""}","{""ImportId"":""QID118_4""}","{""ImportId"":""QID119_4""}","{""ImportId"":""QID120_4""}","{""ImportId"":""QID35""}","{""ImportId"":""QID40""}","{""ImportId"":""QID54""}","{""ImportId"":""QID51""}","{""ImportId"":""QID44""}","{""ImportId"":""QID48""}","{""ImportId"":""QID112""}","{""ImportId"":""QID128_4""}","{""ImportId"":""QID129_4""}","{""ImportId"":""QID130_4""}","{""ImportId"":""QID131_4""}","{""ImportId"":""QID132_4""}","{""ImportId"":""QID152_4""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID36""}","{""ImportId"":""QID89""}","{""ImportId"":""QID95""}","{""ImportId"":""QID107""}","{""ImportId"":""QID104""}","{""ImportId"":""QID92""}","{""ImportId"":""QID57""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID153_1""}","{""ImportId"":""SC_9NUXwJ3ANPrX1eC""}","{""ImportId"":""SC_6QjCJ2nrfxnKDiK""}","{""ImportId"":""SC_a8Dqkxt8jNuA8se""}","{""ImportId"":""ScoreFam""}","{""ImportId"":""Score""}","{""ImportId"":""Score1.2""}","{""ImportId"":""Score 1.3""}","{""ImportId"":""Score 1.4""}","{""ImportId"":""Score2""}","{""ImportId"":""Score2.2""}","{""ImportId"":""Score2.3""}","{""ImportId"":""Score2.4""}"
15/12/2023 04:38,15/12/2023 04:41,100,140,TRUE,15/12/2023 04:41,R_2JFOtFqRkO2imWN,,,,,54.7699,-1.559,anonymous,EN-GB,Yes,Angola,99,Dkdkd,South Indian Classical,,Semiprofessional musician,A little,Khayal,Bihag,Vilambit Composition,Sourindro Mohun Tagore,srikhol,Megh,Miyan Tansen ,12,,Continue,,,,,,,,,,,,,,,,,,,Moderately Similar,Similar,Slightly Similar,Not Similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,No,Continue,Moderately Similar,Moderately Similar,Slightly Similar,Similar,Moderately Similar,Moderately Similar,0,5,2,2,,,,,5,,,
15/12/2023 04:41,15/12/2023 04:43,100,141,TRUE,15/12/2023 04:43,R_4pYxRsb9TbTyp7H,,,,,54.7699,-1.559,anonymous,EN-GB,Yes,Andorra,99,Eiisj,North Indian Classical,,Serious amateur musician,Yes,Khayal,Bhairav,Alaap,Sourindro Mohun Tagore,pakhavaj,Kedar,Nawab Wajid Ali Shah,12,Continue,,Slightly Similar,Slightly Similar,Slightly Similar,Slightly Similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,Yes,Continue,Moderately Similar,Slightly Similar,Slightly Similar,Slightly Similar,Slightly Similar,Slightly Similar,,,,,,,,,,,,,,,,,,,4,0,4,4,4,,,,,,,
15/12/2023 04:47,15/12/2023 05:04,100,1064,TRUE,15/12/2023 05:04,R_4YM0JwmOMDtXoxE,,,,,28.6542,77.2373,anonymous,EN-GB,Yes,India,29,Indian,"Indian Popular (including filmi),Rock  ,Pop ,Folk ",,Amateur musician,A little,Dhrupad,Bhairav,Vilambit Composition,Sourindro Mohun Tagore,pakhavaj,Kedar,Nawab Wajid Ali Shah,12,,Continue,,,,,,,,,,,,,,,,,,,Not Similar,Slightly Similar,Very Similar,Moderately Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,Yes,Continue,Not at all similar,Similar,Moderately Similar,Very Similar,Extremely Similar,Extremely Similar,0,4,5,5,,,,,4,,,
15/12/2023 06:11,15/12/2023 06:24,100,781,TRUE,15/12/2023 06:24,R_4I4TMipFxznklgt,,,,,26.8756,80.9115,anonymous,EN-GB,Yes,India,26,Asian - Indian ,"North Indian Classical,South Indian Classical,Indian Popular (including filmi),Jazz ,Rock  ,Pop ,Metal ,Folk ,Reggae ,Western Classical ,Others",Death Core,Music-loving nonmusician,No,,,,,,,,,,Continue,,,,,,,,,,,,,,,,,,,Very Similar,Not at all similar,Moderately Similar,Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Very Similar,Not at all similar,Similar,Moderately Similar,Extremely Similar,Slightly Similar,0,4,0,,,,,,4,,,
15/12/2023 06:45,15/12/2023 06:59,100,872,TRUE,15/12/2023 06:59,R_4doXbiEAvzXSzQa,,,,,51.4964,-0.1224,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,25,Asian - Indian,"North Indian Classical,Indian Popular (including filmi),Pop ,Latin ,Others",Indie,Amateur musician,No,,,,,,,,,Continue,,Very Similar,Moderately Similar,Extremely Similar,Slightly Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",Yes,No,No,No,Yes,Continue,Moderately Similar,Slightly Similar,Moderately Similar,Not Similar,Extremely Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,3,0,0,,2,3,,,,,,
15/12/2023 07:08,15/12/2023 07:21,100,777,TRUE,15/12/2023 07:21,R_4mdT81Sdii75XLv,,,,,12.9634,77.5855,anonymous,EN-GB,Yes,India,32,Indian,Others,"Brown noise, Acapella, Background music",Nonmusician,No,,,,,,,,,Continue,,Very Similar,Slightly Similar,Slightly Similar,Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Extremely Similar,Similar,Slightly Similar,Very Similar,Extremely Similar,Very Similar,,,,,,,,,,,,,,,,,,,3,0,0,,3,,,,,,,
15/12/2023 07:43,15/12/2023 07:57,100,814,TRUE,15/12/2023 07:57,R_4VY7ONOLB08BhSh,,,,,28.652,77.1663,anonymous,EN-GB,Yes,India,21,Indian ,"Indian Popular (including filmi),Rock  ,Metal ,Western Classical ",,Serious amateur musician,No,,,,,,,,,,Continue,,,,,,,,,,,,,,,,,,,Similar,Not Similar,Not Similar,Slightly Similar,Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,No,Continue,Not Similar,Similar,Similar,Similar,Extremely Similar,Extremely Similar,0,5,0,,,,,,5,,,
15/12/2023 07:59,15/12/2023 08:11,100,733,TRUE,15/12/2023 08:11,R_463fdvKypTXyV9F,,,,,23.2167,72.6833,anonymous,EN-GB,Yes,India,27,Asian-Indian,"North Indian Classical,South Indian Classical,Indian Popular (including filmi),Jazz ,Rock  ,Opera ,Folk ,Western Classical ",,Music-loving nonmusician,No,,,,,,,,,Continue,,Similar,Moderately Similar,Slightly Similar,Moderately Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Not Similar,Similar,Not Similar,Not Similar,Similar,Very Similar,,,,,,,,,,,,,,,,,,,3,0,0,,3,,,,,,,
15/12/2023 08:12,15/12/2023 08:25,100,781,TRUE,15/12/2023 08:25,R_43lPy2NQlWAsivG,,,,,17.3724,78.4378,anonymous,EN-GB,Yes,India,26,Indian,"North Indian Classical,Indian Popular (including filmi),Jazz ,Rock  ,Pop ,Western Classical ",,Nonmusician,No,,,,,,,,,,Continue,,,,,,,,,,,,,,,,,,,Very Similar,Not Similar,Moderately Similar,Slightly Similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,Yes,Yes,Continue,Not Similar,Slightly Similar,Not Similar,Very Similar,Extremely Similar,Extremely Similar,0,3,0,,,,,,3,,,
15/12/2023 09:16,15/12/2023 09:37,100,1287,TRUE,15/12/2023 09:37,R_4oLBaKd3nGLwYNa,,,,,17.3724,78.4378,anonymous,EN-GB,Yes,India,29,Asian- Indian,"North Indian Classical,Indian Popular (including filmi),Jazz ,Rock  ,Pop ,Metal ",,Amateur musician,A little,Dhrupad,Bhairav,Alaap,Vishnu Narayan Bhatkhande,pakhavaj,Kedar,Miyan Tansen ,12,Continue,,Extremely Similar,Moderately Similar,Very Similar,Very Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Extremely Similar,Similar,Slightly Similar,Extremely Similar,Very Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,3,0,5,5,3,,,,,,,
15/12/2023 10:28,15/12/2023 10:36,100,487,TRUE,15/12/2023 10:36,R_4ZJDVNABwQVoEAj,,,,,28.6542,77.2373,anonymous,EN-GB,Yes,India,18,Indian-Punjabi,"North Indian Classical,Indian Popular (including filmi),Rock  ,Pop ,Metal ,Others",Hip Hop,Semiprofessional musician,A little,Dhrupad,Bhairav,Drut Composition,Vishnu Narayan Bhatkhande,pakhavaj,Megh,Nawab Wajid Ali Shah,12,Continue,,Moderately Similar,Moderately Similar,Slightly Similar,Slightly Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,Yes,Continue,Slightly Similar,Slightly Similar,Slightly Similar,Slightly Similar,Extremely Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,4,0,8,8,4,,,,,,,
15/12/2023 10:23,15/12/2023 10:37,100,838,TRUE,15/12/2023 10:37,R_4Xce3wgrccIVcOZ,,,,,22.717,75.8337,anonymous,EN-GB,Yes,India,18,Asian- Indian,"Indian Popular (including filmi),Jazz ,Rock  ,Folk ",,Semiprofessional musician,A little,Dhrupad,Bhairav,Vilambit Composition,Shrikrishna Narayan Ratanjankar,srikhol,Bilawal,Muhammad Shah 'Rangeela',8,,Continue,,,,,,,,,,,,,,,,,,,Not Similar,Slightly Similar,Not Similar,Not at all similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,Yes,No,Continue,Not Similar,Moderately Similar,Very Similar,Very Similar,Similar,Very Similar,0,4,2,2,,,,,4,,,
15/12/2023 12:01,15/12/2023 12:10,100,537,TRUE,15/12/2023 12:10,R_4aDBWRzzEEk5ezz,,,,,23.0276,72.5871,anonymous,EN-GB,Yes,India,18,Indian- Indian,"Indian Popular (including filmi),Rock  ",,Music-loving nonmusician,No,,,,,,,,,,Continue,,,,,,,,,,,,,,,,,,,Slightly Similar,Not Similar,Moderately Similar,Moderately Similar,Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,Yes,Yes,Continue,Slightly Similar,Moderately Similar,Slightly Similar,Moderately Similar,Slightly Similar,Slightly Similar,0,3,0,,,,,,2,3,,
15/12/2023 21:05,15/12/2023 21:17,100,771,TRUE,15/12/2023 21:18,R_4PhKWMzINpHFoVy,,,,,28.6542,77.2373,anonymous,EN-GB,Yes,India,20,Indian ,"North Indian Classical,Western Classical ",,Semiprofessional musician,No,,,,,,,,,,Continue,,,,,,,,,,,,,,,,,,,Not Similar,Very Similar,Slightly Similar,Not Similar,Not Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,Yes,No,Continue,Not Similar,Not Similar,Slightly Similar,Not Similar,Very Similar,Not at all similar,0,3,0,,,,,,3,,,
15/12/2023 23:06,15/12/2023 23:22,100,939,TRUE,15/12/2023 23:22,R_4E6SCwhd3FEzzNN,,,,,28.652,77.1663,anonymous,EN-GB,Yes,India,20,Indian,"North Indian Classical,Indian Popular (including filmi),Jazz ,Pop ,Others",Pakistani classical and urdu raps,Music-loving nonmusician,No,,,,,,,,,Continue,,Moderately Similar,Not Similar,Slightly Similar,Moderately Similar,Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Similar,Not Similar,Similar,Moderately Similar,Very Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,3,0,0,,3,,,,,,,
15/12/2023 23:31,15/12/2023 23:32,100,22,TRUE,15/12/2023 23:32,R_4rjuuvxO4dxnZy9,,,,,28.6542,77.2373,anonymous,EN-GB,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
15/12/2023 23:17,15/12/2023 23:56,100,2358,TRUE,15/12/2023 23:56,R_4mVtfrvCJDCrT44,,,,,28.652,77.1663,anonymous,EN-GB,Yes,India,19,Asian -Indian,Indian Popular (including filmi),,Semiprofessional musician,A little,Dhrupad,Bhairav,Vilambit Composition,Vishnu Narayan Bhatkhande,pakhavaj,Megh,Nawab Wajid Ali Shah,12,Continue,,Slightly Similar,Slightly Similar,Not Similar,Extremely Similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Very Similar,Not Similar,Slightly Similar,Not Similar,Similar,Similar,,,,,,,,,,,,,,,,,,,3,0,7,7,3,,,,,,,
16/12/2023 00:07,16/12/2023 00:15,100,454,TRUE,16/12/2023 00:15,R_4qsOSprsTyIzn7e,,,,,28.652,77.1663,anonymous,EN-GB,Yes,India,22,Indian,"Indian Popular (including filmi),Jazz ,Pop ",,Nonmusician,No,,,,,,,,,,Continue,,,,,,,,,,,,,,,,,,,Moderately Similar,Slightly Similar,Slightly Similar,Slightly Similar,Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,No,Continue,Similar,Slightly Similar,Moderately Similar,Slightly Similar,Moderately Similar,Extremely Similar,0,5,0,,,,,,5,,,
16/12/2023 01:41,16/12/2023 01:54,100,740,TRUE,16/12/2023 01:54,R_4P8cM0e2D4AxiIC,,,,,28.652,77.1663,anonymous,EN-GB,Yes,India,24,Asian indian,"North Indian Classical,Indian Popular (including filmi),Rock  ,Pop ,Western Classical ",,Serious amateur musician,Yes,Dhrupad,Bihag,Drut Composition,Vishnu Narayan Bhatkhande,pakhavaj,Bilawal,Miyan Tansen ,12,Continue,,Not Similar,Not at all similar,Very Similar,Moderately Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Similar,Slightly Similar,Very Similar,Very Similar,Extremely Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,3,0,5,5,3,,,,,,,
16/12/2023 02:08,16/12/2023 02:19,100,707,TRUE,16/12/2023 02:19,R_4ouJqQERu3yHHPj,,,,,12.9634,77.5855,anonymous,EN-GB,Yes,India,22,Indian ,"Indian Popular (including filmi),Pop ,Folk ,Others","Middle Eastern, Turkish music, Vocals Only songs",Nonmusician,No,,,,,,,,,,Continue,,,,,,,,,,,,,,,,,,,Very Similar,Moderately Similar,Similar,Moderately Similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Similar,Slightly Similar,Very Similar,Extremely Similar,Extremely Similar,Extremely Similar,0,4,0,,,,,,4,,,
16/12/2023 07:28,16/12/2023 07:35,100,429,TRUE,16/12/2023 07:35,R_4COe79IbSnxOt9a,,,,,28.6542,77.2373,anonymous,EN-GB,Yes,India,23,Asian-Indian,"North Indian Classical,Indian Popular (including filmi),Jazz ,Pop ,Folk ,Western Classical ",,Music-loving nonmusician,A little,Dhrupad,Bhairav,Vilambit Composition,Vishnu Narayan Bhatkhande,tabla,Kedar,Muhammad Shah 'Rangeela',12,,Continue,,,,,,,,,,,,,,,,,,,Similar,Extremely Similar,Not Similar,Moderately Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,Yes,No,No,Continue,Very Similar,Similar,Slightly Similar,Similar,Extremely Similar,Extremely Similar,0,3,4,4,,,,,3,,,
16/12/2023 07:26,16/12/2023 07:36,100,595,TRUE,16/12/2023 07:36,R_4NyuqeWp6NOYW2q,,,,,18.6161,73.7286,anonymous,EN-GB,Yes,India,25,Asian - Indian,"South Indian Classical,Indian Popular (including filmi),Western Classical ",,Music-loving nonmusician,No,,,,,,,,,,Continue,,,,,,,,,,,,,,,,,,,Similar,Slightly Similar,Slightly Similar,Similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Very Similar,Very Similar,Slightly Similar,Moderately Similar,Similar,Extremely Similar,0,4,0,,,,,,4,,,
16/12/2023 07:49,16/12/2023 08:02,100,760,TRUE,16/12/2023 08:02,R_41oxbAAiMBi7yUS,,,,,18.6161,73.7286,anonymous,EN-GB,Yes,India,23,Asian- Indian,"North Indian Classical,Indian Popular (including filmi),Folk ,Western Classical ,Others",,Amateur musician,No,,,,,,,,,Continue,,Moderately Similar,Slightly Similar,Similar,Extremely Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Similar,Moderately Similar,Very Similar,Similar,Moderately Similar,Moderately Similar,,,,,,,,,,,,,,,,,,,3,0,0,,3,,,,,,,
